Iteration	Posterior	Likelihood	Prior	ephemerality[1]	ephemerality[2]	ephemerality[3]	ephemerality[4]	ephemerality_observed[1]	ephemerality_observed[2]	evolvability[1]	evolvability[2]	evolvability[3]	evolvability[4]	evolvability_observed[1]	evolvability_observed[2]	global_ephemerality	global_evolvability	global_net_pop_formation	global_pop_turnover	global_speciation_success	net_pop_formation_rate[1]	net_pop_formation_rate[2]	net_pop_formation_rate[3]	net_pop_formation_rate[4]	net_pop_formation_rate_observed[1]	net_pop_formation_rate_observed[2]	pop_turnover[1]	pop_turnover[2]	pop_turnover[3]	pop_turnover[4]	pop_turnover_observed[1]	pop_turnover_observed[2]	speciation_success[1]	speciation_success[2]	speciation_success[3]	speciation_success[4]	speciation_success_observed[1]	speciation_success_observed[2]
24	-617.2356	-532.5213	-84.71431	0.209678	0.776609	2.84394	7.1263	1.6781	4.30708	1.66915	1.02603	6.38357	5.82127	7.86823	6.72595	2.442196	14.59417	10.86635	0.7774507	0.3183409	0.266516	0.411824	4.98094	5.20707	5.24746	5.61889	0.965674	0.94696	0.700826	0.687244	0.785058	0.769844	4.60551	1.21935	0.246428	0.0964377	0.467824	0.178739
25	-613.8911	-529.0031	-84.88799	0.209678	0.776609	2.84394	7.1263	1.6781	4.30708	1.67965	1.03475	6.39408	5.83	7.8729	6.72884	2.442196	14.60174	10.86635	0.7774507	0.3183409	0.266516	0.411824	4.98094	5.20707	5.24746	5.61889	0.965674	0.94696	0.700826	0.687244	0.785058	0.769844	4.60551	1.21935	0.246428	0.0964377	0.467824	0.178739
26	-612.6747	-528.63	-84.04471	0.337139	0.824083	2.8364	6.93312	1.72569	4.21818	1.8574	1.0672	6.51364	5.72344	8.16084	6.64534	2.44934	14.80618	11.07079	0.7653264	0.3124623	0.439577	0.439577	5.09582	5.09582	5.53539	5.53539	0.941403	0.941403	0.683212	0.683212	0.765326	0.765326	2.79233	1.14236	0.240873	0.0985432	0.443489	0.181435
27	-615.9918	-526.4708	-89.52097	0.572622	1.39968	2.39193	5.84669	1.9449	4.75399	1.33334	0.925768	6.85467	6.00344	8.02601	6.73728	2.760468	14.7633	11.34246	0.7653264	0.2772452	0.450365	0.450365	5.22087	5.22087	5.67123	5.67123	0.941403	0.941403	0.683212	0.683212	0.765326	0.765326	1.64402	0.672583	0.285632	0.116854	0.393504	0.160986
28	-611.4911	-527.5495	-83.94158	0.443747	1.82092	2.59551	10.6507	1.61369	6.62181	1.99241	1.05926	6.09766	5.16452	7.95439	6.06509	2.594996	14.01948	10.66256	0.7653264	0.2949239	0.613011	0.613011	4.71827	4.71827	5.33128	5.33128	0.915156	0.915156	0.695453	0.695453	0.765326	0.765326	2.06234	0.502578	0.267945	0.0652964	0.474271	0.115577
29	-619.7171	-529.417	-90.30005	0.399374	1.63884	2.33597	9.58569	1.45233	5.95966	1.92009	0.985821	5.61484	4.68057	7.41667	5.52625	2.335509	12.94292	9.596355	0.7653264	0.3276914	0.551713	0.551713	4.24646	4.24646	4.79818	4.79818	0.915156	0.915156	0.695453	0.695453	0.765326	0.765326	2.29147	0.558417	0.297715	0.0725511	0.526965	0.128418
30	-614.4053	-532.5951	-81.81028	0.399374	1.63884	2.33597	9.58569	1.45233	5.95966	1.92009	0.985821	5.61484	4.68057	7.41667	5.52625	2.335509	12.94292	9.596355	0.7653264	0.3276914	0.551713	0.551713	4.24646	4.24646	4.79818	4.79818	0.915156	0.915156	0.695453	0.695453	0.765326	0.765326	2.29147	0.558417	0.297715	0.0725511	0.526965	0.128418
31	-615.8013	-531.5149	-84.2864	0.419478	1.72134	2.22913	9.14729	1.45233	5.95966	1.89326	0.931954	5.70919	4.65624	7.4531	5.48982	2.335509	12.94292	9.596355	0.7653264	0.3276914	0.551713	0.551713	4.24646	4.24646	4.79818	4.79818	0.915156	0.915156	0.695453	0.695453	0.765326	0.765326	2.18165	0.531654	0.311983	0.0760282	0.526965	0.128418
32	-612.6314	-526.51	-86.12133	0.340805	1.3985	1.68366	6.90892	1.13495	4.65727	2.22357	1.09767	6.20359	4.8709	8.23187	5.77512	1.825122	14.00698	9.627127	0.7653264	0.4193289	0.553482	0.553482	4.26008	4.26008	4.81356	4.81356	0.915156	0.915156	0.695453	0.695453	0.765326	0.765326	2.68527	0.654383	0.413061	0.10066	0.674328	0.164329
33	-614.5008	-526.7198	-87.78091	0.308452	1.26574	1.92638	7.90492	1.19208	4.89174	2.24681	1.07635	6.02498	4.85452	8.07629	5.7372	1.917006	13.81349	9.627127	0.7653264	0.3992301	0.517694	0.517694	4.29587	4.29587	4.81356	4.81356	0.920642	0.920642	0.692894	0.692894	0.765326	0.765326	2.98472	0.727356	0.359688	0.0876535	0.642007	0.156453
