Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_observed[1]	extinction_observed[2]	global_extinction	global_net_pop_formation	global_pop_formation	global_spCompletion	global_trans_rate	net_pop_formation_rate[1]	net_pop_formation_rate[2]	net_pop_formation_rate[3]	net_pop_formation_rate[4]	net_pop_formation_rate_observed[1]	net_pop_formation_rate_observed[2]	pop_formation[1]	pop_formation[2]	pop_formation[3]	pop_formation[4]	pop_formation_hidden[1]	pop_formation_hidden[2]	pop_formation_observed[1]	pop_formation_observed[2]	R[1]	R[2]	spCompletion[1]	spCompletion[2]	spCompletion[3]	spCompletion[4]	spCompletion_hidden[1]	spCompletion_hidden[2]	spCompletion_observed[1]	spCompletion_observed[2]	spCompletion_relative[1]	spCompletion_relative[2]	transition_rates[1]	transition_rates[2]
22	-611.6429	-530.3543	-81.2886	6.92564	6.92564	12.0545	12.0545	0.364888	0.635112	18.9802	18.9802	37.96036	10.86635	48.82671	3.198563	0.2686184	0.838726	0.838726	4.59445	4.59445	5.43318	5.43318	7.76436	7.76436	16.649	16.649	0.318037	0.681963	24.4134	24.4134	0.0133892	0.0133892	0.774735	0.33943	1.44939	0.635011	0.348333	0.651667	2.22412	0.974441	0.695351	0.304649	0.219855	0.0487638
23	-612.6265	-526.0543	-86.57221	7.37569	7.37569	11.6045	11.6045	0.3886	0.6114	18.9802	18.9802	37.96036	10.86635	48.82671	3.459203	0.2686184	0.388669	0.388669	5.04451	5.04451	5.43318	5.43318	7.76436	7.76436	16.649	16.649	0.318037	0.681963	24.4134	24.4134	0.011995	0.011995	0.687261	0.301105	1.7181	0.752739	0.285721	0.714279	2.40536	1.05384	0.695351	0.304649	0.172638	0.09598
24	-617.2356	-532.5213	-84.71431	7.49785	7.35254	11.668	11.4419	0.391208	0.608792	19.1659	18.7945	37.96036	10.86635	48.82671	3.459203	0.2686184	0.266516	0.411824	4.98094	5.20707	5.24746	5.61889	7.76436	7.76436	16.649	16.649	0.318037	0.681963	24.4134	24.4134	0.00930772	0.00930772	1.22744	0.502158	1.22744	0.502158	0.5	0.5	2.45489	1.00432	0.709669	0.290331	0.165879	0.102739
25	-613.8911	-529.0031	-84.88799	7.49785	7.35254	11.668	11.4419	0.391208	0.608792	19.1659	18.7945	37.96036	10.86635	48.82671	3.459203	0.2761902	0.266516	0.411824	4.98094	5.20707	5.24746	5.61889	7.76436	7.76436	16.649	16.649	0.318037	0.681963	24.4134	24.4134	0.0151347	0.0151347	1.22744	0.502158	1.22744	0.502158	0.5	0.5	2.45489	1.00432	0.709669	0.290331	0.170555	0.105635
26	-612.6747	-528.63	-84.04471	7.06217	7.06217	10.9901	10.9901	0.391208	0.608792	18.0522	18.0522	36.10446	11.07079	47.17525	3.459203	0.2761902	0.439577	0.439577	5.09582	5.09582	5.53539	5.53539	7.50175	7.50175	16.0859	16.0859	0.318037	0.681963	23.5876	23.5876	0.0198276	0.0198276	1.22744	0.502158	1.22744	0.502158	0.5	0.5	2.45489	1.00432	0.709669	0.290331	0.170555	0.105635
27	-615.9918	-526.4708	-89.52097	7.23548	7.23548	11.2598	11.2598	0.391208	0.608792	18.4952	18.4952	36.99046	11.34246	48.33292	3.144643	0.2761902	0.450365	0.450365	5.22087	5.22087	5.67123	5.67123	7.68584	7.68584	16.4806	16.4806	0.318037	0.681963	24.1665	24.1665	0.0194343	0.0194343	0.740409	0.302908	1.49125	0.610081	0.331776	0.668224	2.23165	0.912989	0.709669	0.290331	0.123129	0.153062
28	-611.4911	-527.5495	-83.94158	6.61212	6.61212	10.7745	10.7745	0.3803	0.6197	17.3866	17.3866	34.77313	10.66256	45.43569	3.144643	0.2122755	0.613011	0.613011	4.71827	4.71827	5.33128	5.33128	7.22513	7.22513	15.4927	15.4927	0.318037	0.681963	22.7178	22.7178	0.0205259	0.0205259	1.26424	0.308086	1.26424	0.308086	0.5	0.5	2.52847	0.616172	0.804057	0.195943	0.0946347	0.117641
29	-619.7171	-529.417	-90.30005	5.95094	5.95094	9.69706	9.69706	0.3803	0.6197	15.648	15.648	31.29599	9.596355	40.89234	3.144643	0.2019171	0.551713	0.551713	4.24646	4.24646	4.79818	4.79818	6.50265	6.50265	13.9435	13.9435	0.318037	0.681963	20.4462	20.4462	0.0141219	0.0141219	1.26424	0.308086	1.26424	0.308086	0.5	0.5	2.52847	0.616172	0.804057	0.195943	0.0900168	0.1119
30	-614.4053	-532.5951	-81.81028	5.95094	5.95094	9.69706	9.69706	0.3803	0.6197	15.648	15.648	31.29599	9.596355	40.89234	3.144643	0.2019171	0.551713	0.551713	4.24646	4.24646	4.79818	4.79818	6.50265	6.50265	13.9435	13.9435	0.318037	0.681963	20.4462	20.4462	0.0141219	0.0141219	1.26424	0.308086	1.26424	0.308086	0.5	0.5	2.52847	0.616172	0.804057	0.195943	0.0900168	0.1119
31	-615.8013	-531.5149	-84.2864	5.95094	5.95094	9.69706	9.69706	0.3803	0.6197	15.648	15.648	31.29599	9.596355	40.89234	3.144643	0.2019171	0.551713	0.551713	4.24646	4.24646	4.79818	4.79818	6.50265	6.50265	13.9435	13.9435	0.318037	0.681963	20.4462	20.4462	0.0114525	0.0114525	1.20365	0.29332	1.32483	0.322851	0.476037	0.523963	2.52847	0.616172	0.804057	0.195943	0.126449	0.0754684
32	-612.6314	-526.51	-86.12133	5.97002	5.97002	9.72815	9.72815	0.3803	0.6197	15.6982	15.6982	31.39634	9.627127	41.02347	4.036932	0.342924	0.553482	0.553482	4.26008	4.26008	4.81356	4.81356	6.5235	6.5235	13.9882	13.9882	0.318037	0.681963	20.5117	20.5117	0.0114525	0.0114525	1.48625	0.362189	1.75967	0.42882	0.457882	0.542118	3.24592	0.79101	0.804057	0.195943	0.17238	0.170544
33	-614.5008	-526.7198	-87.78091	6.00581	6.00581	9.69237	9.69237	0.38258	0.61742	15.6982	15.6982	31.39634	9.627127	41.02347	3.843439	0.342924	0.517694	0.517694	4.29587	4.29587	4.81356	4.81356	6.5235	6.5235	13.9882	13.9882	0.318037	0.681963	20.5117	20.5117	0.0115597	0.0115597	1.54517	0.376548	1.54517	0.376548	0.5	0.5	3.09034	0.753096	0.804057	0.195943	0.17238	0.170544
34	-622.5274	-525.3796	-97.14775	7.81424	7.81424	12.6109	12.6109	0.38258	0.61742	20.4251	20.4251	40.85022	12.52599	53.3762	3.843439	0.342924	0.673579	0.673579	5.58942	5.58942	6.26299	6.26299	8.48782	8.48782	18.2003	18.2003	0.318037	0.681963	26.6881	26.6881	0.0115597	0.0115597	1.0277	0.250443	2.06264	0.502653	0.332552	0.667448	3.09034	0.753096	0.804057	0.195943	0.221937	0.120987
35	-621.1803	-529.7442	-91.43612	7.81424	7.81424	12.6109	12.6109	0.38258	0.61742	20.4251	20.4251	40.85022	12.52599	53.3762	2.915174	0.4062562	0.673579	0.673579	5.58942	5.58942	6.26299	6.26299	8.48782	8.48782	18.2003	18.2003	0.318037	0.681963	26.6881	26.6881	0.0115597	0.0115597	0.509351	0.354365	1.20979	0.841671	0.296283	0.703717	1.71914	1.19604	0.589721	0.410279	0.354285	0.0519716
36	-616.1293	-526.8526	-89.27665	6.87279	6.87279	11.0915	11.0915	0.38258	0.61742	17.9643	17.9643	35.92864	11.4217	47.35035	2.108514	0.518379	0.656802	0.656802	5.05405	5.05405	5.71085	5.71085	7.52959	7.52959	16.1456	16.1456	0.318037	0.681963	23.6752	23.6752	0.0115597	0.0115597	0.390276	0.271522	0.853158	0.593558	0.31387	0.68613	1.24343	0.86508	0.589721	0.410279	0.413898	0.104481
37	-604.1646	-521.0668	-83.0978	7.01542	6.73016	11.3217	10.8613	0.38258	0.61742	18.3371	17.5915	35.92864	11.4217	47.35035	1.506074	0.518379	0.514168	0.799436	4.82386	5.28424	5.33803	6.08367	7.52959	7.52959	16.1456	16.1456	0.318037	0.681963	23.6752	23.6752	0.0108344	0.0108344	0.278497	0.193756	0.609666	0.424155	0.313566	0.686434	0.888163	0.617911	0.589721	0.410279	0.435884	0.0824953
38	-611.8359	-525.0395	-86.79649	7.30641	7.30641	10.6579	10.6579	0.406718	0.593282	17.9643	17.9643	35.92864	11.4217	47.35035	1.506074	0.518379	0.223183	0.223183	5.48767	5.48767	5.71085	5.71085	7.52959	7.52959	16.1456	16.1456	0.318037	0.681963	23.6752	23.6752	0.0108344	0.0108344	0.236126	0.236126	0.51691	0.51691	0.313566	0.686434	0.753037	0.753037	0.5	0.5	0.435884	0.0824953
